"2023","Eisenstadt <10101>",1750,,1950,,575,,2396,,2777,,2543,,1453,,309,,255,,67,,557,,354,,161,,46,,182,,306,,75,,384,,209,,80,,17,,
,"Rust <10201>",219,,247,,86,,302,,390,,402,,255,,11,,18,,6,,42,,32,,18,,10,,3,,3,,1,,4,,4,,1,,3,,
,"Breitenbrunn am Neusiedler See <10301>",214,,183,,66,,260,,422,,431,,272,,14,,5,,-,,33,,27,,18,,4,,12,,10,,6,,13,,8,,4,,2,,
,"Donnerskirchen <10302>",199,,215,,67,,301,,386,,422,,174,,17,,16,,7,,34,,33,,16,,-,,3,,4,,2,,12,,11,,1,,-,,
,"Großhöflein <10303>",280,,245,,83,,372,,459,,428,,166,,18,,20,,5,,43,,35,,9,,4,,-,,1,,-,,5,,5,,1,,-,,
,"Hornstein <10304>",409,,362,,124,,511,,638,,599,,341,,33,,30,,8,,75,,79,,23,,8,,22,,25,,5,,58,,27,,25,,5,,
,"Klingenbach <10305>",127,,116,,35,,167,,258,,219,,105,,30,,30,,15,,53,,45,,17,,1,,1,,65,,18,,22,,11,,11,,2,,
,"Leithaprodersdorf <10306>",171,,199,,63,,206,,272,,218,,96,,5,,9,,-,,20,,7,,4,,-,,-,,2,,-,,1,,6,,1,,-,,
,"Loretto <10320>",53,,49,,16,,85,,135,,102,,62,,1,,6,,3,,4,,10,,2,,-,,-,,1,,-,,1,,4,,1,,-,,
,"Mörbisch am See <10307>",215,,275,,104,,304,,462,,519,,256,,24,,16,,7,,39,,51,,23,,9,,4,,5,,3,,7,,6,,3,,-,,
,"Müllendorf <10308>",189,,206,,68,,227,,349,,249,,137,,13,,5,,2,,28,,19,,7,,1,,4,,8,,4,,20,,6,,1,,-,,
,"Neufeld an der Leitha <10309>",467,,446,,173,,581,,750,,611,,379,,40,,33,,10,,85,,45,,19,,9,,23,,34,,9,,56,,34,,22,,8,,
,"Oggau am Neusiedler See <10310>",199,,214,,73,,272,,353,,417,,189,,7,,11,,1,,13,,18,,10,,1,,-,,1,,-,,2,,2,,1,,-,,
,"Oslip <10311>",130,,170,,55,,189,,278,,310,,128,,9,,13,,5,,25,,25,,5,,3,,5,,3,,1,,5,,9,,5,,-,,
,"Purbach am Neusiedler See <10312>",345,,340,,115,,450,,691,,593,,323,,36,,16,,3,,50,,59,,21,,1,,10,,8,,5,,16,,9,,15,,1,,
,"Sankt Margarethen im Burgenland <10313>",284,,328,,103,,442,,626,,609,,304,,15,,12,,1,,33,,31,,13,,4,,4,,7,,3,,14,,4,,3,,1,,
,"Schützen am Gebirge <10314>",158,,183,,71,,202,,297,,307,,145,,24,,9,,4,,35,,22,,14,,2,,5,,9,,4,,15,,7,,7,,1,,
,"Siegendorf <10315>",343,,348,,123,,505,,596,,577,,323,,74,,58,,16,,113,,100,,43,,15,,22,,23,,10,,49,,36,,15,,8,,
,"Steinbrunn <10316>",430,,375,,130,,521,,647,,450,,325,,35,,24,,8,,58,,41,,12,,4,,22,,41,,12,,47,,30,,7,,-,,
,"Stotzing <10321>",119,,86,,28,,140,,181,,150,,73,,19,,17,,2,,15,,9,,1,,1,,5,,1,,1,,7,,3,,5,,-,,
,"Trausdorf an der Wulka <10317>",266,,234,,86,,335,,459,,434,,247,,20,,13,,4,,41,,45,,16,,4,,5,,4,,3,,9,,5,,1,,1,,
,"Wimpassing an der Leitha <10318>",284,,189,,70,,343,,370,,245,,114,,29,,24,,10,,47,,20,,8,,-,,14,,8,,4,,22,,6,,10,,1,,
,"Wulkaprodersdorf <10319>",249,,210,,79,,302,,365,,376,,191,,48,,27,,6,,55,,48,,12,,-,,14,,15,,7,,18,,12,,9,,1,,
,"Zillingtal <10322>",109,,116,,34,,148,,231,,215,,71,,21,,14,,5,,28,,23,,2,,2,,4,,6,,-,,5,,9,,1,,-,,
,"Zagersdorf <10323>",133,,119,,36,,169,,228,,217,,136,,24,,20,,6,,32,,33,,7,,-,,1,,9,,1,,4,,9,,5,,1,,
,"Bildein <10426>",40,,21,,3,,47,,74,,64,,48,,8,,11,,4,,8,,9,,2,,1,,1,,1,,1,,1,,-,,-,,2,,
,"Bocksdorf <10401>",95,,108,,36,,134,,175,,172,,100,,2,,4,,-,,8,,5,,5,,1,,-,,-,,-,,2,,-,,-,,-,,
